Unnamed: 0,reviews
0,"One of the oldest university in Malaysia.
The campus is full of greenery and beautiful building.
Its good to have a jog in the campus."
1,The oldest and highest ranking Malaysian institution❤️ Second home since 2007-present
2,"Top university in Malaysia, it's good to study here. The cafes and foods are very nice especially the Faculty of Science roti canai. Have quite some good places to relieve stress and near to most malls around KL."
3,"Malaysia's oldest university. Obviously it'll look stunning on the outside but the problem lies in the lack of parking spots provided for students and visitors. Most, (not many), of the parking spots that are visible are for the staff and personnel so if you wanna come here, sure, but it depends on your luck on that day. Anyway, UM has an eye pleasing surrounding and definitely ig-worthy. Oh, and, mind you, this uni is HUGE so you may get lost."
4,"University Malaya is located at Kuala Lumpur, Malaysia. It's 10 minutes away from Pasar Seni.
Every year I come to this University to send my students for an International Scrabble Tournament.
All the students are professional and outstanding. They are not only from Malaysia, but also from different countries like Indonesia and Singapore.

There are also some canteens inside the campus and the price is affordable for students. There are Nasi lemak, nasi goreng and many more. If you are walking to residental college, they provide water refill and there is also vending machine. It's really helpful for students."
5,It's been 5 years since  my son's graduation of Masters ..Thank you 🙏 UM for the memorable ceremony..
6,"As a student, i would say im lucky to be able to study here, the facilities here are adequate and there are many places with beautiful sceneries such as the lake where students and visitors can go canoeing, i dont know the exact term, too lazy to google."
7,Beautiful varsity and very nice study environment.
8,The guard that ive met at the main gate to enter the vaccination centre at UM was very helpful and friendly.
9,I saw group of ducks and geese in the lake. It's so quiet and peaceful on weekends.
10,"Prestige university, good facilities...got waffles and chatime behind the library...nice place to study. Pls join UM if u are searching for good public university..UM is one of the good public Uni."
11,"This is where my brothers and sister study. Although I have never studied here, but I have come here because my brother brought me to visit here.hhhui.."
12,"The oldest university in Malaysia,good environment."
13,One of the oldest and the most prestigious universities in Malaysia.
14,One of the oldest & prestigious university in Malaysia. Had studied there in the 80's. A lot of good memories. Very glad daughter managed to study there also.
15,"Best public research university in Malaysia. lovely environment, free buses for um students. Huge campus area (922 acre). Library has been developed in line with the teaching, learning and research needs of the University.  I graduated  here in year 2009."
16,"Wide, interesting, satisfying"
17,"My life long dream became reality when I stepped into the Malaysia's top ranking University. I dreamed this University with my open eyes. The reality is more beautiful and more appealing, glad to be a part of this scholarly world."
18,No 1 uni in Malaysia and among the best in producing graduates with highest hiring rates.
19,Nice to visit this green campus with long avenues of trees and large sports fields. It's been More than 9 months since I got out here.
20,The best university in Malaysia. It can be improved more definitely. Cheers!
21,The best university in Malaysia
22,Such a huge university. Really loved it hear. There are buses in the university. You can take T815 to go to Phileo Damansara MRT station. It is a peaceful place to study. It is also a great place to excercise. Amazing library!  The food is cheap i n the university. You can find some restaurants there. They have nice waffleeeee. Really miss it there. The best!!!!!!!!!
23,Easy parking . Nice place. Great environment. Crowded and jammed during pick hour to come in and out. There is 2 main cafe here in Kompleks Perdanasiswa and Rumah Universiti.. nice food and cake there..
24,I think this is the best public university of Malaysia. University campus is so quite and clean. It has good ranking position in world's top universities.
25,"Great University, Love this place!"
26,Nice and green Campus. the area is so big that you definitely need a car to roam around the campus. Public transport inside the campus is really helpful to connect with LRT & MRT services.
27,New building block. Clean and spacious. Over charged car parking fees for a semi public hospital. Difficult to maneuver in car park due to narrow driveway. Old building under refurbishment.
28,"Having a very good time here at UM with the rest of Komatra Sajian team (KK12). Im glad there are ducks at kk12, cute chubby cats around. The best thing, there is tree hut and maze, reban itik angsa, lake and the overall surrounding. …"
29,More than meets the eye. So much to be explored for staff and students alike.
30,Very nice university football ground
31,University Malaya has abundance space to improve. The ranking has improved. Attended the Pesta Tanglung University Malaya 2019.
32,Great as ussual...safe n clean
33,Oldest and highest world ranking public university in Malaysia.
34,Have a very nice Tasik called Tasik Varsiti which provide kayak. RM2 for student price with matric card provided.
35,best university in Malaysia! don't get too attach with Kuala Lumpur social lifestyle hahaha
36,The best and recognized University world wide. The only pride remains for Malaysian. Keep it up
37,"We now have a new addition, the He&She Coffee Cafe behind the library!"
38,Beautiful Campus
39,Here as an inter. Beautiful Campus but a bit difficult to find veg. food.
40,Awesome!
41,The ocean of knowledge.
42,got many sport facilities.. so UM is my favorite place to go for tournament..
43,I Hope can study there. University Malaya is famous university
44,Malaysia's oldest university
45,Very nice environment to study in. Huge campus.
46,Very interesting view among universities in malaysia
47,"Best university in Malaysia, nothing more to add"
48,Perfect university
49,Good
50,One of the best and largest university in Malaysia
51,Top University in Malaysia 👍
52,"Gorgeous arrangements, comfortable apartments and natural beauty."
53,Love It.
54,First and top university in Malaysia!
55,Good university. Large area.
56,Good uni!
57,The Best Public University in Malaysia
58,Nice learning village in the heart of the PJ city
59,Quite large campus.
60,I love UM
61,the best
62,Alma mater
63,Good University with good facilities.
64,Good place for study
65,malaysia's top uni's
66,Such a pretty university.
67,Extraordinary
68,Good
69,Best
70,The top university in the country
71,nice place for education
72,1 big place
73,Have a good rankings in the world
74,University  of  Malaysia  is  best
75,best one
76,so bad services fakulty of medicine !
77,not good at all.
78,Great university
79,Very good
80,Worst registration system ever
81,Good friends .good location.
82,top notch and exemplary uni
83,Test. Haha
84,awesome
85,im working here
86,✨✨✨More than 5 stars ✨✨✨
87,amazing
88,one of a best in the country..
89,My alma mater 🙏
